,id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,peak,flux,mag,daofind_mag,ra,dec,spectral_type,visual_mag,simbad_distance_pc,abs_mag,spectral_class
68,206,1246.3397979293638,347.6952542548478,0.4684751657533623,-0.1318806823506483,0.22883124674708827,25,3421.0,33543.33333333333,-11.314015544925418,-3.7273718929466853,36.77211724457581,61.323524534402836,A3V,9.880000114440918,334.515,2.2579221306605763,A
69,1484,650.5718466440157,1707.5845270159593,0.4680789162529388,-0.3323150041085554,0.16809062498196004,25,3191.3333333333335,32938.0,-11.294243063030475,-3.606715943590179,39.9394969486101,60.72324487909894,,10.029999732971191,919.202,0.21294492987455627,
70,1083,1368.6089383639833,1303.3240009728713,0.4933752217240303,-0.24028027098364219,0.19723473981360606,25,3456.6666666666665,32751.666666666664,-11.288083513164482,-3.7296013005712325,38.97279792629962,61.50908711016623,F5,9.850000381469727,367.999,2.0207671888503995,F
71,1197,1980.0716872919838,1415.3143062953998,0.5455210811222041,0.07456631144638314,0.2541607521389033,25,4008.6666666666665,32696.000000000004,-11.286236561758843,-3.920538996981838,39.19452451487046,62.19046164996949,B/A,9.9399995803833,,,B
72,668,1422.9403007180158,907.0623743349391,0.4988200769903303,0.06247328662161026,0.25558447810317964,25,3560.6666666666665,32326.666666666668,-11.273902312649609,-3.784177990650024,38.04618120336992,61.5528309433763,,19.863000869750977,,,
73,1133,582.456664857098,1348.540628543483,0.48729915061106904,0.42355966331781264,0.29752986487154764,25,3239.6666666666665,32262.33333333333,-11.271739434999485,-3.618478229798077,39.12951120842862,60.63899087016417,A5,10.09000015258789,448.169,1.832791087872831,A
74,707,881.2436515844413,941.4928291135535,0.4995032077098595,0.3230192441926627,0.3255245647891676,25,3298.6666666666665,31607.666666666664,-11.249481091608285,-3.654259260984285,38.180201903909484,60.95423883513547,B1.5V,9.979999542236328,2014.504,-1.540841128066475,B
75,293,477.27656721858534,469.49920127094435,0.4757705594712259,0.011023311747585003,0.26813082223523166,25,3104.6666666666665,30947.0,-11.226546387300328,-3.5895752808122667,37.15700495572657,60.48042435475399,AmF0,10.119999885559082,596.623,1.2414999278865722,A
76,1693,689.8491752889973,1898.005552387968,0.500236251510431,0.02251171115914807,0.2745077188440336,25,3293.6666666666665,29960.0,-11.191354522568574,-3.696273315427683,40.370648828070145,60.76942959625617,B,10.170000076293945,2331.546,-1.6682198649255895,B
77,9,302.59606967325533,10.18204273274041,0.44079938431475,0.33711276212218355,0.022402207514097175,25,2401.6666666666665,29475.666666666668,-11.173659091362715,-3.155403976509379,36.15445005800187,60.25371210053887,,10.140000343322754,446.15,1.8925958567126777,
